date_from	date_to	area_type_cd	area_type_name	category_cd	category_name	area_use_cd	group_category_nr	grp_category_name	supergr_cat_name	type_fl	kind_calc_area	kind_calc_forest
01-01-2017		E-W-PS    	Uż.ekol. pod rowem na pastwisku         	UŻ E-W-PS  	użytki ekologiczne                                                               	E-W-P	5111	użytki ekologiczne            	użytki ekologiczne                                	N	1.2 	0 
01-01-2017		LZ        	zadrzewienia pozostałe                  	ZADRZEW    	zadrzewienia i zakrzewienia                                                      	Lz   	2111	zadrz.i zakrzew.              	zadrz.i zakrzew.                                  	N	6.0 	0 
01-01-2017		E-LZR-R   	uż.ekol.na. gr.zadrz. i zakrz -na roli  	UŻ E-LZR-R 	użytki ekologiczne                                                               	E-Lzr	5111	użytki ekologiczne            	użytki ekologiczne                                	N	1.1 	0 
01-01-2017		LCTWO-BI  	kancelaria leśnictwa                    	T ZAB INNE 	tereny zabudowane inne                                                           	Bi   	7311	tereny zabudowane inne        	tereny zabudowane inne                            	N	3.0 	0 
01-01-2017		E-LZR-Ł   	uż.ekol.na gr. zadrz. i zakrz.- na łące 	UŻ E-LZR-Ł 	użytki ekologiczne                                                               	E-Lzr	5111	użytki ekologiczne            	użytki ekologiczne                                	N	1.2 	0 
01-01-2017		TR INNE   	pozostałe tereny różne                  	RÓŻNE IN   	różne inne                                                                       	Tr   	6111	tereny różne                  	tereny różne                                      	N	6.2 	0 
01-01-2017		E-W-R     	Uż.ekol.pod rowem na roli               	UŻ E-W-R   	użytki ekologiczne                                                               	E-W-R	5111	użytki ekologiczne            	użytki ekologiczne                                	N	1.1 	0 
01-01-2017		KOLEJ LIN 	kolej linowa                            	INNE KOM   	inne tereny komunikacyjne                                                        	Ti   	7713	tereny komunikacyjne          	tereny komunikacyjne                              	N	3.0 	0 
01-01-2017		LZ-CM NCZ 	cmentarz nieczynny                      	ZADRZEW    	zadrzewienia i zakrzewienia                                                      	Lz   	2111	zadrz.i zakrzew.              	zadrz.i zakrzew.                                  	N	6.0 	0 
01-01-2017		LZ-GRUZ   	wysyp. i gruz. pokryte drzew. I krzew.  	ZADRZEW    	zadrzewienia i zakrzewienia                                                      	Lz   	2111	zadrz.i zakrzew.              	zadrz.i zakrzew.                                  	N	6.0 	0 
01-01-2017		LZ-JARY   	jary i wąwozy pokr. drzew. przed erozją 	ZADRZEW    	zadrzewienia i zakrzewienia                                                      	Lz   	2111	zadrz.i zakrzew.              	zadrz.i zakrzew.                                  	N	6.0 	0 
01-01-2017		LZ-PARK   	park bez urz. Rekreacyjnych             	ZADRZEW    	zadrzewienia i zakrzewienia                                                      	Lz   	2111	zadrz.i zakrzew.              	zadrz.i zakrzew.                                  	N	6.0 	0 
