arodes_int_num	prot_category_cd	prot_rank_order	a_year
1704000112	OCH WOD  	1	2023
1704000118	OCH WOD  	1	2023
1704000124	OCH WOD  	1	2023
1704000126	OCH WOD  	1	2023
1704000128	OCH WOD  	1	2023
1704000130	OCH WOD  	1	2023
1704000136	OCH WOD  	1	2023
1704000153	OCH WOD  	1	2023
1704000477	OCH WOD  	1	2023
1704000207	OCH WOD  	1	2023
1704000211	OCH WOD  	1	2023
1704000215	OCH WOD  	1	2023
1704000219	OCH WOD  	1	2023
1704000221	OCH WOD  	1	2023
1704000227	OCH WOD  	1	2023
1704000486	OCH WOD  	1	2023
1704000742	OCH WOD  	1	2023
1704001803	OCH WOD  	1	2023
1704001712	OCH WOD  	1	2023
1704001716	OCH WOD  	1	2023
1704000727	OCH WOD  	1	2023
1704000729	OCH WOD  	1	2023
1704000488	OCH WOD  	1	2023
1704000490	OCH WOD  	1	2023
1704000518	OCH WOD  	1	2023
1704000520	OCH WOD  	1	2023
1704000525	OCH WOD  	1	2023
1704000533	OCH WOD  	1	2023
1704000535	OCH WOD  	1	2023
1704000565	OCH WOD  	1	2023
1704000567	OCH WOD  	1	2023
1704001644	OCH WOD  	1	2023
1704001655	OCH WOD  	1	2023
1704001663	OCH WOD  	1	2023
1704000593	OCH WOD  	1	2023
1704000595	OCH WOD  	1	2023
1704000599	OCH WOD  	1	2023
1704000631	OCH WOD  	1	2023
1704000648	OCH WOD  	1	2023
1704001618	OCH WOD  	1	2023
1704001805	OCH WOD  	1	2023
1704002188	OCH WOD  	1	2023
1704002032	OCH WOD  	1	2023
1704002034	OCH WOD  	1	2023
1704002036	OCH WOD  	1	2023
1704002107	OCH WOD  	1	2023
1704002190	OCH WOD  	1	2023
1704002122	OCH WOD  	1	2023
1704002135	OCH WOD  	1	2023
1704002137	OCH WOD  	1	2023
1704002139	OCH WOD  	1	2023
1704002143	OCH WOD  	1	2023
1704002145	OCH WOD  	1	2023
1704002160	OCH WOD  	1	2023
1704002173	OCH WOD  	1	2023
1704002177	OCH WOD  	1	2023
1704002179	OCH WOD  	1	2023
1704002005	OCH WOD  	1	2023
1704002009	OCH WOD  	1	2023
1704002011	OCH WOD  	1	2023
1704002017	OCH WOD  	1	2023
1704002089	OCH WOD  	1	2023
1704002091	OCH WOD  	1	2023
1704002181	OCH WOD  	1	2023
1704002192	OCH WOD  	1	2023
1704002194	OCH WOD  	1	2023
1704002363	OCH WOD  	1	2023
1704002205	OCH WOD  	1	2023
1704003394	OCH GLEB 	1	2023
1704002374	OCH WOD  	1	2023
1704002376	OCH WOD  	1	2023
1704002391	OCH WOD  	1	2023
1704002393	OCH WOD  	1	2023
1704002886	OCH OSTOJ	1	2023
1704002888	OCH OSTOJ	1	2023
1704002893	OCH OSTOJ	1	2023
1704002895	OCH OSTOJ	1	2023
1704002899	OCH OSTOJ	1	2023
1704003058	OCH BADAW	1	2023
1704002906	OCH OSTOJ	1	2023
1704003283	OCH WOD  	1	2023
1704003285	OCH WOD  	1	2023
1704002300	OCH WOD  	1	2023
1704002302	OCH WOD  	1	2023
1704002323	OCH WOD  	1	2023
1704002325	OCH WOD  	1	2023
1704002348	OCH WOD  	1	2023
1704003270	OCH WOD  	1	2023
1704003396	OCH GLEB 	1	2023
1704003274	OCH WOD  	1	2023
1704003398	OCH GLEB 	1	2023
1704003501	OCH GLEB 	1	2023
1704003400	OCH GLEB 	1	2023
1704003402	OCH GLEB 	1	2023
1704003404	OCH GLEB 	1	2023
1704003413	OCH GLEB 	1	2023
1704003579	OCH GLEB 	1	2023
1704003419	OCH GLEB 	1	2023
1704003452	OCH GLEB 	1	2023
1704003454	OCH GLEB 	1	2023
1704003534	OCH GLEB 	1	2023
1704003536	OCH GLEB 	1	2023
1704003791	OCH WOD  	1	2023
1704003543	OCH GLEB 	1	2023
1704003546	OCH GLEB 	1	2023
1704003554	OCH WOD  	1	2023
1704003556	OCH WOD  	1	2023
1704003558	OCH GLEB 	1	2023
1704003563	OCH GLEB 	1	2023
1704003569	OCH GLEB 	1	2023
1704003571	OCH GLEB 	1	2023
1704003573	OCH GLEB 	1	2023
1704003801	OCH WOD  	1	2023
1704003816	OCH WOD  	1	2023
1704003818	OCH WOD  	1	2023
1704003825	OCH WOD  	1	2023
1704003835	OCH WOD  	1	2023
1704003851	OCH GLEB 	1	2023
1704003853	OCH GLEB 	1	2023
1704003859	OCH GLEB 	1	2023
1704003863	OCH GLEB 	1	2023
1704003868	OCH GLEB 	1	2023
1704003604	OCH GLEB 	1	2023
1704003608	OCH GLEB 	1	2023
1704003610	OCH GLEB 	1	2023
1704003612	OCH GLEB 	1	2023
1704003614	OCH GLEB 	1	2023
1704003625	OCH WOD  	1	2023
1704003627	OCH WOD  	1	2023
1704003629	OCH WOD  	1	2023
1704003631	OCH WOD  	1	2023
1704003637	OCH WOD  	1	2023
1704003641	OCH WOD  	1	2023
1704003644	OCH WOD  	1	2023
1704003646	OCH WOD  	1	2023
1704003972	OCH WOD  	1	2023
1704003976	OCH WOD  	1	2023
1704003980	OCH WOD  	1	2023
1704003985	OCH WOD  	1	2023
1704003987	OCH WOD  	1	2023
1704003989	OCH WOD  	1	2023
1704003997	OCH WOD  	1	2023
1704004000	OCH WOD  	1	2023
1704004002	OCH WOD  	1	2023
1704004004	OCH WOD  	1	2023
1704004021	OCH WOD  	1	2023
1704003456	OCH GLEB 	1	2023
1704003462	OCH GLEB 	1	2023
1704003476	OCH GLEB 	1	2023
1704003478	OCH GLEB 	1	2023
1704003480	OCH GLEB 	1	2023
1704003482	OCH GLEB 	1	2023
1704003493	OCH GLEB 	1	2023
1704003495	OCH GLEB 	1	2023
1704003497	OCH GLEB 	1	2023
1704003499	OCH GLEB 	1	2023
1704003878	OCH GLEB 	1	2023
1704003881	OCH GLEB 	1	2023
1704003883	OCH GLEB 	1	2023
1704003891	OCH GLEB 	1	2023
1704003893	OCH GLEB 	1	2023
1704003897	OCH GLEB 	1	2023
1704003904	OCH GLEB 	1	2023
1704003908	OCH GLEB 	1	2023
1704003911	OCH GLEB 	1	2023
1704003913	OCH GLEB 	1	2023
1704003915	OCH GLEB 	1	2023
1704003917	OCH GLEB 	1	2023
1704003919	OCH GLEB 	1	2023
1704003921	OCH GLEB 	1	2023
1704003928	OCH GLEB 	1	2023
1704003936	OCH GLEB 	1	2023
1704004176	OCH WOD  	1	2023
1704004191	OCH WOD  	1	2023
1704003652	OCH WOD  	1	2023
1704003654	OCH WOD  	1	2023
1704003656	OCH WOD  	1	2023
1704003658	OCH WOD  	1	2023
1704003662	OCH WOD  	1	2023
1704003700	OCH GLEB 	1	2023
1704003702	OCH GLEB 	1	2023
1704003707	OCH GLEB 	1	2023
1704003712	OCH GLEB 	1	2023
1704003714	OCH GLEB 	1	2023
1704003716	OCH GLEB 	1	2023
1704003718	OCH GLEB 	1	2023
1704003720	OCH GLEB 	1	2023
1704004120	OCH WOD  	1	2023
1704004125	OCH GLEB 	1	2023
1704004128	OCH GLEB 	1	2023
1704004134	OCH GLEB 	1	2023
1704004136	OCH GLEB 	1	2023
1704004033	OCH GLEB 	1	2023
1704004042	OCH GLEB 	1	2023
1704004044	OCH GLEB 	1	2023
1704004046	OCH GLEB 	1	2023
1704004263	OCH WOD  	1	2023
1704003793	OCH WOD  	1	2023
1704004161	OCH WOD  	1	2023
1704003795	OCH WOD  	1	2023
