arodes_int_num	a_year	site_nr	measure_cd	urgency	cutting_nr	cutting_area	large_timber_perc	cue_rank_order
1704000016	2023	1	TPP      	N		1.29		1
1704000018	2023	1	TWP      	N		1.0		1
1704000024	2023	1	TPP      	N		1.88		1
1704000028	2023	1	TPP      	N		1.07		1
1704000030	2023	1	TPP      	N		0.24		1
1704000038	2023	1	TPP      	N		1.02		1
1704000051	2023	1	TPP      	N		3.92		1
1704000053	2023	1	CW       	N		1.47		1
1704000055	2023	1	TPP      	N		2.09		1
1704000057	2023	1	TWP      	N		0.79		1
1704000063	2023	1	TPP      	N		3.91		1
1704000068	2023	1	IIIA     	N		2.71	30	1
1704000068	2023	1	AGROT    	N		0.81		2
1704000068	2023	1	ODN-ZŁOŻ 	N		0.81		3
1704000070	2023	1	TPP      	N		1.37		1
1704000072	2023	1	IB       	N		1.78	95	1
1704000346	2023	1	TPP      	N		0.77		1
1704000072	2023	1	AGROT    	N		1.78		2
1704000072	2023	1	ODN-ZRB  	N		1.78		3
1704000074	2023	1	TPP      	N		1.75		1
1704000349	2023	1	CP       	N		1.39		1
1704000076	2023	1	TWP      	N		3.32		1
1704000082	2023	1	TWP      	N		0.91		1
1704000078	2023	1	IB       	N		2.23	95	1
1704000078	2023	1	AGROT    	N		2.23		2
1704000078	2023	1	ODN-ZRB  	N		2.23		3
1704000080	2023	1	TPP      	N		4.89		1
1704000084	2023	1	TWP      	N		1.57		1
1704000244	2023	1	TPP      	N		1.39		1
1704000406	2023	1	TPP      	N		0.77		1
1704000246	2023	1	TPP      	N		1.62		1
1704000253	2023	1	TPP      	N		2.54		1
1704000257	2023	1	IIIA     	N		3.14	30	1
1704000257	2023	1	AGROT    	N		0.94		2
1704000257	2023	1	ODN-ZŁOŻ 	N		0.94		3
1704000259	2023	1	CW       	N		1.18		1
1704000261	2023	1	TWP      	N		0.52		1
1704000265	2023	1	TPP      	N		0.69		1
1704000173	2023	1	TPP      	N		2.0		1
1704000175	2023	1	TPP      	N		2.79		1
1704000177	2023	1	TPP      	N		2.03		1
1704000181	2023	1	TPP      	N		3.81		1
1704000088	2023	1	TPP      	N		5.32		1
1704000090	2023	1	TPP      	N		0.34		1
1704000101	2023	1	TWP      	N		1.45		1
1704000103	2023	1	TPP      	N		1.82		1
1704000108	2023	1	TPP      	N		0.99		1
1704000110	2023	1	TPP      	N		0.57		1
1704000351	2023	1	TPP      	N		1.77		1
1704000353	2023	1	IIIB     	N		8.47	50	1
1704000353	2023	1	AGROT    	N		2.54		2
1704000353	2023	1	ODN-ZŁOŻ 	N		2.54		3
1704000353	2023	1	PIEL     	N		2.54		4
1704000366	2023	1	TPP      	N		0.76		1
1704000368	2023	1	TPP      	N		1.1		1
1704000374	2023	1	TPP      	N		1.44		1
1704000376	2023	1	TPP      	N		0.76		1
1704000378	2023	1	TPP      	N		2.67		1
1704000382	2023	1	TPP      	N		1.75		1
1704000386	2023	1	TPP      	N		3.41		1
1704000388	2023	1	TPP      	N		1.4		1
1704000391	2023	1	TPP      	N		0.97		1
1704000393	2023	1	TPP      	N		3.15		1
1704000395	2023	1	TPP      	N		1.16		1
1704000397	2023	1	TPP      	N		3.62		1
1704000399	2023	1	TPP      	N		1.22		1
1704000272	2023	1	TWP      	N		2.48		1
1704000278	2023	1	TPP      	N		0.93		1
1704000192	2023	1	TPP      	N		2.04		1
1704000194	2023	1	TPP      	N		0.53		1
1704000196	2023	1	TPP      	N		1.13		1
1704000198	2023	1	TPP      	N		1.2		1
1704000200	2023	1	TWP      	N		2.84		1
1704000202	2023	1	TPP      	N		1.68		1
1704000204	2023	1	IIIA     	N		1.71	30	1
1704000204	2023	1	AGROT    	N		0.51		2
1704000204	2023	1	ODN-ZŁOŻ 	N		0.51		3
1704000112	2023	1	CW       	N		4.15		1
1704000114	2023	1	TPP      	N		1.94		1
1704000116	2023	1	TWP      	N		2.6		1
1704000118	2023	1	TPP      	N		0.62		1
1704000120	2023	1	TPP      	N		3.93		1
1704000124	2023	1	TPP      	N		1.75		1
1704000128	2023	1	CW       	N		1.77		1
1704000128	2023	1	CP       	N		1.75		2
1704000128	2023	1	PRZEST   	N		0.0	100	3
1704000402	2023	1	TPP      	N		1.4		1
