site_int_num	arodes_int_num	prot_site_cd	prot_site_state	a_year
146	1704000053	9170	C	2023
1	1704000074	9170	C	2023
2	1704000080	9170	B	2023
1266	1704000088	9170	B	2023
4	1704000103	9170	B	2023
5	1704000141	9170	C	2023
6	1704000145	9170	C	2023
10	1704000173	9170	C	2023
1210	1704000175	9170	B	2023
11	1704000259	9170	C	2023
13	1704000299	9170	C	2023
14	1704000312	9170	C	2023
15	1704000321	9170	B	2023
17	1704000329	9170	B	2023
21	1704000346	9170	B	2023
23	1704000428	9170	C	2023
24	1704000432	9170	C	2023
26	1704000444	9170	C	2023
27	1704000449	9170	C	2023
29	1704000453	9170	C	2023
30	1704000457	9170	B	2023
33	1704000477	9170	C	2023
34	1704000486	9170	C	2023
35	1704000490	9170	B	2023
36	1704000492	9170	C	2023
37	1704000497	9170	B	2023
38	1704000499	9170	C	2023
39	1704000501	9170	C	2023
40	1704000503	9170	C	2023
41	1704000505	9170	C	2023
42	1704000508	9170	C	2023
114	1704000510	9170	C	2023
43	1704000512	9170	C	2023
44	1704000516	9170	B	2023
45	1704000518	9170	C	2023
46	1704000520	9170	C	2023
47	1704000522	9170	B	2023
48	1704000525	9170	C	2023
49	1704000531	9170	C	2023
50	1704000533	9170	C	2023
51	1704000535	9170	C	2023
52	1704000537	9170	C	2023
53	1704000539	9170	C	2023
54	1704000541	9170	C	2023
55	1704000546	9170	C	2023
62	1704000574	9170	C	2023
74	1704000576	9170	C	2023
63	1704000578	9170	C	2023
76	1704000584	9170	C	2023
65	1704000593	9170	B	2023
66	1704000595	9170	C	2023
67	1704000597	9170	B	2023
68	1704000599	9170	B	2023
70	1704000603	9170	C	2023
71	1704000608	9170	C	2023
82	1704000662	9170	C	2023
83	1704000667	9170	B	2023
85	1704000673	9170	B	2023
88	1704000690	9170	C	2023
91	1704000699	9170	C	2023
93	1704000705	9170	C	2023
97	1704000716	9170	C	2023
99	1704000725	9170	C	2023
100	1704000727	9170	B	2023
101	1704000729	9170	C	2023
103	1704000742	9170	C	2023
104	1704000751	9170	C	2023
1268	1704000753	91D0	B	2023
106	1704000759	9170	C	2023
111	1704000774	9170	C	2023
112	1704000776	9170	C	2023
113	1704000779	9170	C	2023
115	1704000781	9170	C	2023
117	1704000785	9170	C	2023
119	1704000789	9170	B	2023
118	1704000791	9170	C	2023
152	1704000794	9170	C	2023
120	1704000796	9170	B	2023
123	1704000800	9170	C	2023
124	1704000802	9170	C	2023
122	1704000804	9170	C	2023
126	1704000806	9170	B	2023
127	1704000814	9170	C	2023
129	1704000816	9170	C	2023
130	1704000818	9170	C	2023
1269	1704000845	91D0	C	2023
132	1704000866	9170	C	2023
133	1704000873	9170	C	2023
134	1704000896	9170	C	2023
1435	1704000898	9170	C	2023
136	1704000901	9170	B	2023
137	1704000915	9170	C	2023
138	1704000919	9170	C	2023
139	1704000922	9170	C	2023
140	1704000926	9170	C	2023
141	1704000945	9170	C	2023
143	1704000966	9170	B	2023
144	1704000968	9170	C	2023
145	1704000970	9170	C	2023
147	1704001001	9170	C	2023
272	1704001006	9170	C	2023
273	1704001012	9170	B	2023
274	1704001016	9170	B	2023
276	1704001024	9170	C	2023
277	1704001026	9170	C	2023
319	1704001079	91E0	B	2023
1206	1704001081	91E0	B	2023
321	1704001085	9170	C	2023
341	1704001087	91E0	B	2023
322	1704001089	9170	C	2023
323	1704001091	91E0	C	2023
324	1704001093	9170	C	2023
325	1704001095	9170	C	2023
380	1704001097	9170	B	2023
239	1704001102	9170	C	2023
267	1704001110	9170	C	2023
279	1704001170	9170	B	2023
280	1704001181	9170	C	2023
281	1704001193	9170	C	2023
282	1704001205	9170	C	2023
1436	1704001216	9170	C	2023
283	1704001218	9170	B	2023
285	1704001220	9170	B	2023
286	1704001233	9170	B	2023
287	1704001235	9170	C	2023
292	1704001287	9170	C	2023
1273	1704001299	91D0	C	2023
296	1704001366	91E0	C	2023
297	1704001372	9170	C	2023
298	1704001374	9170	C	2023
301	1704001407	91E0	C	2023
302	1704001409	91E0	B	2023
1211	1704001457	9170	C	2023
306	1704001459	9170	C	2023
308	1704001465	9170	B	2023
307	1704001467	9170	C	2023
310	1704001473	9170	C	2023
311	1704001477	9170	C	2023
312	1704001490	91E0	B	2023
314	1704001496	91E0	B	2023
316	1704001513	9170	C	2023
317	1704001523	9170	A	2023
318	1704001538	9170	B	2023
148	1704001568	9170	C	2023
149	1704001575	9170	B	2023
153	1704001577	9170	C	2023
156	1704001584	9170	B	2023
1270	1704001586	9170	B	2023
158	1704001589	9170	B	2023
159	1704001591	9170	C	2023
162	1704001618	9170	C	2023
167	1704001635	9170	C	2023
168	1704001638	9170	B	2023
169	1704001644	9170	C	2023
170	1704001646	9170	C	2023
171	1704001648	9170	B	2023
174	1704001655	9170	C	2023
175	1704001657	9170	C	2023
179	1704001659	9170	B	2023
176	1704001663	9170	C	2023
182	1704001672	9170	C	2023
183	1704001677	9170	C	2023
184	1704001679	9170	C	2023
185	1704001681	9170	C	2023
186	1704001683	9170	B	2023
187	1704001686	9170	C	2023
188	1704001688	9170	C	2023
189	1704001690	9170	C	2023
190	1704001692	9170	C	2023
194	1704001699	9170	C	2023
196	1704001701	91F0	B	2023
199	1704001705	9170	B	2023
