arodes_int_num	a_year	density_cd	mixture_cd	standdensity_index	tree_stock_cd	st_rank_order_act	storey_cd
1704000003	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000003	2023			0.8		2	PODSZ   
1704000005	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000005	2023			0.9		2	PODSZ   
1704000008	2023			0.4		2	PODSZ   
1704000008	2023	PRZ 	KĘP 	0.6	PRZ UM 	1	DRZEW   
1704000010	2023			0.6		2	PODSZ   
1704000010	2023	PRZ 	KĘP 	0.7	PRZ UM 	1	DRZEW   
1704000012	2023			0.4		2	PODSZ   
1704000012	2023	UM  	KĘP 	0.6	UM PRZ 	1	DRZEW   
1704000014	2023			0.3		2	PODSZ   
1704000014	2023	UM  	KĘP 	0.7	UM DUŻE	1	DRZEW   
1704000016	2023			0.3		2	PODSZ   
1704000016	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000018	2023			0.2		2	PODSZ   
1704000018	2023	PEŁ 		1.3	DUŻE   	1	DRZEW   
1704000020	2023	UM  	KĘP 	0.9	UM DUŻE	1	DRZEW   
1704000020	2023			0.7		2	PODSZ   
1704000022	2023	UM  	KĘP 	1.0	UM DUŻE	1	DRZEW   
1704000022	2023			0.5		2	PODSZ   
1704000024	2023	UM  	KĘP 	0.8	UM PRZ 	1	DRZEW   
1704000024	2023			0.7		2	PODSZ   
1704000026	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000026	2023			0.2		2	PODSZ   
1704000028	2023			0.4		2	PODSZ   
1704000028	2023	UM  		0.8	UM DUŻE	1	DRZEW   
1704000030	2023			0.3		2	PODSZ   
1704000030	2023	UM  	GRP 	0.7	UM DUŻE	1	DRZEW   
1704000032	2023	UM  		0.8	UM DUŻE	1	DRZEW   
1704000032	2023			0.2		2	PODSZ   
1704000034	2023	UM  		1.0	UM PRZ 	1	DRZEW   
1704000034	2023			0.5		2	PODSZ   
1704000036	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000036	2023			0.6		2	PODSZ   
1704000038	2023	UM  	DKĘP	0.7	UM PRZ 	1	DRZEW   
1704000038	2023			0.4		2	PODSZ   
1704000038	2023					3	PRZES   
1704000040	2023			0.5		2	PODSZ   
1704000082	2023			0.6		2	PODSZ   
1704000082	2023	UM  		1.1	UM DUŻE	1	DRZEW   
1704000325	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000040	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000325	2023			0.6		2	PODSZ   
1704000084	2023			0.4		2	PODSZ   
1704000084	2023	PEŁ 	KĘP 	1.0	DUŻE   	1	DRZEW   
1704000044	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000086	2023	UM  		0.6	UM PRZ 	1	DRZEW   
1704000086	2023			0.2		2	PODSZ   
1704000327	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000327	2023			0.8		2	PODSZ   
1704000044	2023			0.6		2	PODSZ   
1704000329	2023	UM  	KĘP 	0.7	UM PRZ 	1	DRZEW   
1704000329	2023			0.7		2	PODSZ   
1704000046	2023	PRZ 	DKĘP	0.8	PRZ UM 	1	DRZEW   
1704000046	2023			0.6		2	PODSZ   
1704000346	2023	PRZ 	KĘP 	0.8	PRZ UM 	1	DRZEW   
1704000346	2023			0.7		2	PODSZ   
1704000088	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000088	2023			0.7		2	PODSZ   
1704000051	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000090	2023			0.8		2	PODSZ   
1704000090	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000051	2023			0.7		2	PODSZ   
1704000092	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000092	2023			0.4		2	PODR    
1704000092	2023			0.7		3	PODSZ   
1704000053	2023		DKĘP	1.0		1	DRZEW   
1704000053	2023			0.8		2	PODSZ   
1704000053	2023					3	PRZES   
1704000055	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000244	2023			0.8		2	PODSZ   
1704000244	2023	PRZ 		0.7	PRZ UM 	1	DRZEW   
1704000349	2023					2	PRZES   
1704000349	2023	UM  	GRP 	0.8	UM DUŻE	1	DRZEW   
1704000101	2023	UM  		1.0	UM DUŻE	1	DRZEW   
1704000101	2023			0.3		2	PODSZ   
1704000101	2023					3	PRZES   
1704000055	2023			0.3		2	PODR    
1704000055	2023			0.3		3	PODSZ   
1704000057	2023			0.4		2	PODSZ   
1704000103	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000103	2023			0.5		2	PODSZ   
1704000246	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000246	2023			0.7		2	PODSZ   
1704000057	2023					3	PRZES   
1704000057	2023	PEŁ 	GRP 	0.9	DUŻE   	1	DRZEW   
1704000248	2023	PRZ 	GRP 	0.7	PRZ LUŹ	1	DRZEW   
1704000248	2023			0.8		2	PODSZ   
1704000108	2023	PRZ 		0.7	PRZ UM 	1	DRZEW   
