arodes_int_num	adress_forest	a_year	arodes_typ_cd
1704000000	17-04-1-01-      -    -  	2023	L-CTWO   
1704000001	17-04-1-01-7     -    -  	2023	ODDZ     
1704000003	17-04-1-01-7     -a   -00	2023	WYDZIEL  
1704000005	17-04-1-01-7     -b   -00	2023	WYDZIEL  
1704000006	17-04-1-01-8     -    -  	2023	ODDZ     
1704000008	17-04-1-01-8     -k   -00	2023	WYDZIEL  
1704000010	17-04-1-01-8     -l   -00	2023	WYDZIEL  
1704000012	17-04-1-01-8     -m   -00	2023	WYDZIEL  
1704000014	17-04-1-01-8     -n   -00	2023	WYDZIEL  
1704000016	17-04-1-01-8     -x   -00	2023	WYDZIEL  
1704000018	17-04-1-01-8     -y   -00	2023	WYDZIEL  
1704000020	17-04-1-01-8     -ax  -00	2023	WYDZIEL  
1704000022	17-04-1-01-8     -bx  -00	2023	WYDZIEL  
1704000024	17-04-1-01-8     -cx  -00	2023	WYDZIEL  
1704000026	17-04-1-01-8     -b   -00	2023	WYDZIEL  
1704000028	17-04-1-01-8     -c   -00	2023	WYDZIEL  
1704000030	17-04-1-01-8     -d   -00	2023	WYDZIEL  
1704000032	17-04-1-01-8     -f   -00	2023	WYDZIEL  
1704000034	17-04-1-01-8     -g   -00	2023	WYDZIEL  
1704000036	17-04-1-01-8     -h   -00	2023	WYDZIEL  
1704000038	17-04-1-01-8     -p   -00	2023	WYDZIEL  
1704000040	17-04-1-01-8     -dx  -00	2023	WYDZIEL  
1704000044	17-04-1-01-8     -gx  -00	2023	WYDZIEL  
1704000046	17-04-1-01-8     -hx  -00	2023	WYDZIEL  
1704000049	17-04-1-01-9     -    -  	2023	ODDZ     
1704000051	17-04-1-01-9     -a   -00	2023	WYDZIEL  
1704000053	17-04-1-01-9     -b   -00	2023	WYDZIEL  
1704000055	17-04-1-01-9     -c   -00	2023	WYDZIEL  
1704000057	17-04-1-01-9     -d   -00	2023	WYDZIEL  
1704000063	17-04-1-01-9     -j   -00	2023	WYDZIEL  
1704000066	17-04-1-01-10    -    -  	2023	ODDZ     
1704000068	17-04-1-01-10    -a   -00	2023	WYDZIEL  
1704000070	17-04-1-01-10    -b   -00	2023	WYDZIEL  
1704000072	17-04-1-01-10    -c   -00	2023	WYDZIEL  
1704000074	17-04-1-01-10    -d   -00	2023	WYDZIEL  
1704000076	17-04-1-01-10    -f   -00	2023	WYDZIEL  
1704000078	17-04-1-01-10    -g   -00	2023	WYDZIEL  
1704000080	17-04-1-01-10    -h   -00	2023	WYDZIEL  
1704000082	17-04-1-01-10    -i   -00	2023	WYDZIEL  
1704000084	17-04-1-01-10    -j   -00	2023	WYDZIEL  
1704000086	17-04-1-01-10    -k   -00	2023	WYDZIEL  
