date_from	date_to	soil_subtype_cd	soil_subtype_name	soil_subtype_nr
01-01-1970		AK    	Gleby kulturoziemne                               	103
01-01-1970		AKb   	Kulturoziemy pobagienne                           	107
01-01-1970		AKhs  	Hortisole                                         	105
01-01-1970		AKl   	Kulturoziemy leśne                                	106
01-01-1970		AKrs  	Rigosole                                          	104
01-01-1970		AR    	Arenosole                                         	8
01-01-1970		ARb   	Arenosole bielicowane                             	11
01-01-1970		ARi   	Arenosole inicjalne                               	9
01-01-1970		ARw   	Arenosole właściwe                                	10
01-01-1970		AU    	Gleby industro- i urbanoziemne                    	108
01-01-1970		AUi   	Gl. industro i urbanoziemne o niewykszt. prof.    	109
01-01-1970		AUp   	Gl. industro i urbanoziemne próchniczne           	110
01-01-1970		AUpr  	Pararędziny antropogeniczne                       	111
01-01-1970		AUsł  	Gleby antropogeniczne słone                       	112
01-01-1970		B     	Gleby bielicowe                                   	5
01-01-1970		BR    	Gleby brunatne                                    	36
01-01-1970		BRb   	Gleby brunatne bielicowe                          	41
01-01-1970		BRk   	Gleby brunatne kwaśne                             	40
01-01-1970		BRs   	Gleby szarobrunatne                               	38
01-01-1970		BRw   	Gleby brunatne właściwe                           	37
01-01-1970		BRwy  	Gleby brunatne wyługowane                         	39
01-01-1970		Bgms  	Gleby glejo-bielicowe murszaste                   	56
01-01-1970		Bgts  	Gleby glejo-bielicowe torfiaste                   	57
01-01-1970		Bgw   	Gleby glejo-bielicowe właściwe                    	55
01-01-1970		Blgw  	Glejo-bielice właściwe                            	58
01-01-1970		Blw   	Bielice właściwe                                  	54
01-01-1970		Bw    	Gleby bielicowe właściwe                          	53
01-01-1970		C     	Czarnoziemy                                       	26
01-01-1970		CZ    	Czarne ziemie                                     	31
01-01-1970		CZbr  	Czarne ziemie brunatne                            	35
01-01-1970		CZms  	Czarne ziemie murszaste                           	3
01-01-1970		CZw   	Czarne ziemie właściwe                            	32
01-01-1970		Csz   	Gleby szare                                       	30
01-01-1970		Cwybr 	Czarnoziemy wyługowane brunatne                   	28
01-01-1970		Cwyog 	Czarnoziemy wyługowane opadowo-glejowe            	29
