arodes_int_num	a_year	storey_cd	sp_rank_order_act	species_cd	species_age	part_cd_act	site_class_cd	height	bhd	volume
1704000003	2023	DRZEW   	1	OL       	75	10 	III	23	33	235.0
1704000003	2023	DRZEW   	2	OL       	40	MJS				
1704000003	2023	PODSZ   	1	CZM      						
1704000003	2023	PODSZ   	2	KRU      						
1704000003	2023	PODSZ   	3	PRZ.CW   						
1704000005	2023	DRZEW   	1	OL       	70	9  	III	22	27	253.0
1704000005	2023	DRZEW   	2	OL       	80	1  	III	23	33	29.0
1704000005	2023	DRZEW   	3	BRZ      	70	MJS				
1704000005	2023	DRZEW   	4	WZ       	70	MJS				
1704000005	2023	DRZEW   	5	KL       	45	MJS				
1704000005	2023	DRZEW   	6	OL       	45	MJS				
1704000005	2023	PODSZ   	1	CZM      						
1704000005	2023	PODSZ   	2	KRU      						
1704000005	2023	PODSZ   	3	BEZ.C    						
1704000005	2023	PODSZ   	4	JRZ      						
1704000005	2023	PODSZ   	5	GŁG      						
1704000008	2023	DRZEW   	1	SO       	55	4  	II 	17	18	68.0
1704000008	2023	DRZEW   	2	SO       	70	3  	II 	20	25	58.0
1704000008	2023	DRZEW   	3	SO       	110	3  	III	20	38	53.0
1704000008	2023	DRZEW   	4	DB       	40	MJS				
1704000008	2023	PODSZ   	1	SO       						
1704000008	2023	PODSZ   	2	DB       						
1704000008	2023	PODSZ   	3	JAŁ      						
1704000010	2023	DRZEW   	1	SO       	80	6  	II 	21	25	144.0
1704000010	2023	DRZEW   	2	SO       	110	4  	III	21	38	74.0
1704000010	2023	DRZEW   	3	BRZ      	80	MJS				
1704000010	2023	PODSZ   	1	DB       						
1704000010	2023	PODSZ   	2	KRU      						
1704000010	2023	PODSZ   	3	SO       						
1704000010	2023	PODSZ   	4	JAŁ      						
1704000012	2023	DRZEW   	1	SO       	55	7  	II 	17	20	117.0
1704000012	2023	DRZEW   	2	SO       	75	3  	III	17	27	50.0
1704000012	2023	DRZEW   	3	OS       	55	MJS				
1704000012	2023	DRZEW   	4	OL       	55	MJS				
1704000012	2023	PODSZ   	1	DB       						
1704000012	2023	PODSZ   	2	KRU      						
1704000012	2023	PODSZ   	3	JAŁ      						
1704000014	2023	DRZEW   	1	SO       	58	8  	II 	17	20	154.0
1704000014	2023	DRZEW   	2	SO       	78	2  	II 	20	29	46.0
1704000014	2023	DRZEW   	3	DB       	40	MJS				
1704000014	2023	PODSZ   	1	DB       						
1704000014	2023	PODSZ   	2	JAŁ      						
1704000014	2023	PODSZ   	3	BRZ      						
1704000016	2023	DRZEW   	1	SO       	75	10 	II 	21	26	291.0
1704000016	2023	DRZEW   	2	BRZ      	60	MJS				
1704000016	2023	DRZEW   	3	DB       	40	MJS				
1704000016	2023	PODSZ   	1	DB       						
1704000016	2023	PODSZ   	2	SO       						
1704000016	2023	PODSZ   	3	JRZ      						
1704000016	2023	PODSZ   	4	BRZ      						
1704000018	2023	DRZEW   	1	SO       	28	10 	IA 	16	15	254.0
1704000018	2023	DRZEW   	2	BRZ      	28	PJD				
1704000018	2023	DRZEW   	3	DB       	28	MJS				
1704000018	2023	PODSZ   	1	DB       						
1704000018	2023	PODSZ   	2	KRU      						
1704000018	2023	PODSZ   	3	BRZ      						
1704000020	2023	DRZEW   	1	SO       	85	8  	II 	21	29	262.0
1704000020	2023	DRZEW   	2	OL       	85	2  	III	22	27	68.0
1704000020	2023	DRZEW   	3	BRZ      	85	PJD				
1704000020	2023	DRZEW   	4	DB       	85	MJS				
1704000020	2023	DRZEW   	5	OS       	60	MJS				
1704000020	2023	PODSZ   	1	DB       						
1704000020	2023	PODSZ   	2	KRU      						
1704000020	2023	PODSZ   	3	JRZ      						
1704000020	2023	PODSZ   	4	BRZ      						
1704000020	2023	PODSZ   	5	ŚW       						
1704000022	2023	DRZEW   	1	SO       	85	9  	III	20	28	253.0
1704000022	2023	DRZEW   	2	OL       	85	1  	III	22	27	34.0
1704000022	2023	DRZEW   	3	BRZ      	85	MJS				
