date_from	date_to	species_cd	species_num	species_name	latin_name	shrubtree_fl	bot_species	bot_genus	bot_name	fomatree_grp	act_tree_grp	wood_kind_fl	height_grp	volume_grp	worth_grp	c_species_cd	wage_grp_fl	plants_fsawing_qty	plants_psawing_qty	plants_foil_qty	gat_grp	ibl_grp	lmr_reg_fl
01-01-1970		ACE.PS.LE	320204	klon jawor                    	Acer pseudoplatanus Leopoldii 	D	klon                          	odm.'Leopoldii'               		DB 	BK 	L	DB       	DB       	BK       		3	0	0	0	DB       	DB       	
01-01-1970		ACE.SA.LU	320703	klon srebrzysty               	Acer saccharinum Lutescens    	D	klon                          	odm.'Lutescens'               		DB 	BK 	L	DB       	DB       	BK       		3	0	0	0	DB       	DB       	
01-01-1970		AGR      	590100	agrest pospolity              	Ribes grossularia             	K	agrest                        					L					1	0	0	0	OS       	BRZ      	
01-01-1970		AK       	410100	robinia akacjowa              	Robinia pseudoacacia          	D	robinia                       			BRZ	BRZ	L			OL       		3	28000	7000	0	BRZ      	BRZ      	
01-01-1970		ARO.C    	510099	aronia czarna                 	Aronia melanocarpa            	K	aronia                        					L					1	0	0	0	OS       	BRZ      	
01-01-1970		AZA.P    	1240100	azalia pontyjska              	Rhododendron flavum           	K	azalia                        					L					1	0	0	0	OS       	BRZ      	
01-01-1970		BER      	510100	berberys pospolity            	Berberis vulgaris             	K	berberys                      					L					1	0	0	0	OS       	BRZ      	
01-01-1970		BER.T    	510200	berberys Thunberga            	Berberis thunbergii           	K	berberys                      					L					1	0	0	0	OS       	BRZ      	
01-01-1970		BEZ.C    	1350100	bez czarny                    	Sambucus nigra                	K	bez                           					L					1	15000	6000	0	OS       	BRZ      	
01-01-1970		BEZ.K    	1350200	bez koralowy                  	Sambucus racemosa             	K	bez                           					L					1	15000	6000	0	OS       	BRZ      	
01-01-1970		BK       	300100	buk pospolity                 	Fagus silvatica               	D	buk                           			BK 	BK 	L			BK       		3	32000	8000	20000	BK       	BK       	
01-01-1970		BRZ      	360100	brzoza brodawkowata           	Betula pendula                	D	brzoza                        			BRZ	BRZ	L			BRZ      		3	30000	10000	25000	BRZ      	BRZ      	
01-01-1970		BRZ.C    	360300	brzoza ciemna                 	Betula obscura                	D	brzoza                        			BRZ	BRZ	L			BRZ      		3	0	0	0	BRZ      	BRZ      	
01-01-1970		BRZ.O    	360200	brzoza omszona                	Betula pubescens              	D	brzoza                        			BRZ	BRZ	L			BRZ      		3	25000	8000	0	BRZ      	BRZ      	
01-01-1970		BRZ.P    	360600	brzoza papierowa              	Betula papyrifera             	D	brzoza                        			BRZ	BRZ	L			BRZ      		3	0	0	0	BRZ      	BRZ      	
01-01-1970		BST      	330300	wiąz górski                   	Ulmus glabra                  	D	wiąz                          			DB 	DB 	L			BK       		3	15000	6000	0	DB       	DB       	
01-01-1970		CIS      	190100	cis pospolity                 	Taxus baccata                 	D	cis                           			JD 	JD 	I	JD       	JD       	JD       		1	25000	7000	0	OS       	JD       	
01-01-1970		COR.AV.C 	760105	leszczyna pospolita           	Corylus avellana              	K	leszczyna                     	odm. Contorta                 				L					1	0	0	0	OS       	BRZ      	
01-01-1970		CYP.G    	110400	cyprysik groszkowy            	Chamaecyparis pisifera        	D	cyprysik                      			JD 	JD 	I	JD       	JD       	JD       		1	0	0	0	OS       	JD       	
01-01-1970		CYP.L    	110100	cyprysik Lawsona              	Chamaecyparis lawsoniana      	D	cyprysik                      			JD 	JD 	I	JD       	JD       	JD       		1	0	0	0	OS       	JD       	
01-01-1970		CZM      	851800	czeremcha pospolita           	Prunus padus                  	D	śliwa                         			BRZ	BRZ	L			OS       		3	15000	5000	0	OS       	BRZ      	
01-01-1970		CZM.P    	851900	czeremcha późna               	Prunus serotina               	D	śliwa                         			BRZ	BRZ	L			OS       		3	0	0	0	OS       	BRZ      	
01-01-1970		CZR      	851300	czereśnia pospolita           		D	śliwa                         			BRZ	BRZ	L			OS       		3	0	0	0	OS       	BRZ      	
01-01-1970		CZR.P    	851400	czereśnia ptasia              	Prunus avium                  	D	śliwa                         			BRZ	BRZ	L	BRZ      	BRZ      	OS       		3	0	0	0	OS       	BRZ      	
01-01-1970		DB       	310100	dąb nieokreślony              	Quercus species               	D	dąb                           			DB 	DB 	L			DB       		3	0	0	0	DB       	DB       	
01-01-1970		DB.B     	310300	dąb bezszypułkowy             	Quercus petraea               	D	dąb                           			DB 	DB 	L			DB       		3	35000	7000	0	DB       	DB       	
